districtid,monthid,neighborhoodzscore,statezscore
263,2,-0.58,-0.82
263,3,-0.84,-0.93
263,4,-0.43,-0.68
263,5,-0.71,-0.54
263,6,-0.71,-0.59
264,1,0,0
264,2,-0.45,-0.27
264,3,-0.82,-1.06
264,4,-0.97,-0.78
264,5,-1.32,-0.64
264,6,-0.2,-0.47
265,1,0,0
265,2,-0.68,-0.51
265,3,2.22,0.26
265,4,0.12,-0.57
265,5,-0.07,-0.58
265,6,0.29,-0.46
266,1,0,0
266,2,22.0,4.27
266,3,-0.3,-0.38
266,4,-0.19,0.32
266,5,0.07,0.73
266,6,0.09,0.8
267,1,0,0
267,2,-0.32,-0.44
267,3,0.96,-0.18
267,4,-0.41,-0.29
267,5,1.0,0.19
267,6,1.52,0.86
268,1,0,0
268,2,0,-0.33
268,3,-0.91,-0.83
268,4,-0.58,-0.4
268,5,-0.76,-0.48
268,6,-0.02,-0.21
269,1,-0.5,0
269,2,-0.51,-0.7
269,3,-0.36,1.03
269,4,-0.36,1.42
269,5,0.83,3.01
269,6,0.57,3.46
270,1,-1.0,0
270,2,-1.0,-0.35
270,3,-1.0,-0.9
270,4,-1.0,-0.39
270,5,-1.0,-0.42
270,6,-1.0,-0.44
271,1,0,0
271,2,0,0
271,3,-0.93,-0.58
271,4,-0.61,-0.33
271,5,-0.2,0.3
271,6,-0.54,-0.0
272,1,0,0
272,2,0,0
272,3,5.34,4.49
272,4,16.5,22.37
272,5,11.56,13.7
272,6,20.04,9.57
273,1,-0.5,0
273,2,-0.5,0
273,3,-0.49,6.36
273,4,-0.5,-0.31
273,5,-0.49,0.43
273,6,-0.5,0.43
274,1,0,0
274,2,-0.27,-0.28
274,3,5.03,3.18
274,4,3.84,6.45
274,5,11.86,2.64
274,6,2.91,3.04
275,1,0,0
275,2,-0.66,-0.96
275,3,-0.33,-0.98
275,4,-0.21,0.16
275,5,0.04,0.26
275,6,-0.05,0.32
276,1,0,0
276,2,-1.2,-0.56
276,3,-0.57,-0.69
276,4,-0.26,-0.81
276,5,-0.59,-1.1
276,6,-0.17,-0.15
277,1,0,0
277,2,-0.57,-0.41
277,3,-0.71,-0.61
277,4,-1.22,-0.47
277,5,-0.47,-0.56
277,6,-0.73,-0.53
278,1,0,0
278,2,-0.62,-0.62
278,3,-0.2,-0.17
278,4,0.93,-0.16
278,5,0.52,-0.4
278,6,2.39,-0.23
279,1,-0.58,0
279,2,-0.58,1.47
279,3,-0.6,1.01
279,4,-0.51,4.41
279,5,-0.38,6.21
279,6,-0.51,2.36
280,1,0,0
280,2,-0.78,-0.6
280,3,6.54,0.02
280,4,-1.28,-0.55
280,5,-0.97,-0.54
280,6,-0.62,-0.41
281,1,0,0
281,2,0.55,-0.43
281,3,-0.51,-0.59
281,4,0.96,-0.33
281,5,-0.81,-0.53
281,6,-0.34,-0.44
282,1,0,0
282,2,-0.49,-0.45
282,3,0.18,-0.32
282,4,-0.65,-0.52
282,5,-0.21,-0.77
282,6,-0.39,-1.0
283,1,0,0
283,2,-0.43,-0.34
283,3,-0.94,-0.52
283,4,-1.14,-0.55
283,5,-0.92,-0.46
283,6,-1.15,-0.66
284,1,0,0
284,2,-0.41,-0.48
284,3,-0.04,-0.33
284,4,-0.29,-0.46
284,5,-0.33,-0.46
284,6,-0.41,-0.48
285,1,0,0
285,2,0.51,-0.68
285,3,-0.47,-0.73
285,4,-1.3,-0.64
285,5,-0.04,-0.58
285,6,0.04,-0.67
286,1,0,0
286,2,-0.65,-0.66
286,3,-0.66,-0.92
286,4,-0.27,-0.48
286,5,-0.05,-0.36
